@relation 'T3BotAgent-training-weka.filters.unsupervised.attribute.Discretize-unset-class-temporarily-B5-M-1.0-Rfirst-last-weka.filters.unsupervised.attribute.Remove-R1-2,4-200,206-219,225-364,368-369,376-380,383-387'

@attribute intermediateReward {'\'(-inf-341]\'','\'(341-725]\'','\'(725-1109]\'','\'(1109-1493]\'','\'(1493-inf)\''}
@attribute mergeObservation_10_7 {'\'(-inf--47.6]\'','\'(-47.6--35.2]\'','\'(-35.2--22.8]\'','\'(-22.8--10.4]\'','\'(-10.4-inf)\''}
@attribute mergeObservation_10_8 {'\'(-inf--47.6]\'','\'(-47.6--35.2]\'','\'(-35.2--22.8]\'','\'(-22.8--10.4]\'','\'(-10.4-inf)\''}
@attribute mergeObservation_10_9 {'\'(-inf--47.6]\'','\'(-47.6--35.2]\'','\'(-35.2--22.8]\'','\'(-22.8--10.4]\'','\'(-10.4-inf)\''}
@attribute mergeObservation_10_10 {'\'(-inf--47.6]\'','\'(-47.6--35.2]\'','\'(-35.2--22.8]\'','\'(-22.8--10.4]\'','\'(-10.4-inf)\''}
@attribute mergeObservation_10_11 {'\'(-inf--47.6]\'','\'(-47.6--35.2]\'','\'(-35.2--22.8]\'','\'(-22.8--10.4]\'','\'(-10.4-inf)\''}
@attribute mergeObservation_11_7 {'\'(-inf--47.8]\'','\'(-47.8--35.6]\'','\'(-35.6--23.4]\'','\'(-23.4--11.2]\'','\'(-11.2-inf)\''}
@attribute mergeObservation_11_8 {'\'(-inf--47.6]\'','\'(-47.6--35.2]\'','\'(-35.2--22.8]\'','\'(-22.8--10.4]\'','\'(-10.4-inf)\''}
@attribute mergeObservation_11_9 {'\'(-inf--47.6]\'','\'(-47.6--35.2]\'','\'(-35.2--22.8]\'','\'(-22.8--10.4]\'','\'(-10.4-inf)\''}
@attribute mergeObservation_11_10 {'\'(-inf--47.6]\'','\'(-47.6--35.2]\'','\'(-35.2--22.8]\'','\'(-22.8--10.4]\'','\'(-10.4-inf)\''}
@attribute mergeObservation_11_11 {'\'(-inf--47.6]\'','\'(-47.6--35.2]\'','\'(-35.2--22.8]\'','\'(-22.8--10.4]\'','\'(-10.4-inf)\''}
@attribute coinsObserved {'\'(-inf-6]\'','\'(6-12]\'','\'(12-18]\'','\'(18-24]\'','\'(24-inf)\''}
@attribute blocksObserved {'\'(-inf-4.8]\'','\'(4.8-9.6]\'','\'(9.6-14.4]\'','\'(14.4-19.2]\'','\'(19.2-inf)\''}
@attribute enemiesObserved {'\'(-inf-14]\'','\'(14-28]\'','\'(28-42]\'','\'(42-56]\'','\'(56-inf)\''}
@attribute coinsFuture6Ticks {'\'(-inf-0.8]\'','\'(0.8-1.6]\'','\'(1.6-2.4]\'','\'(2.4-3.2]\'','\'(3.2-inf)\''}
@attribute killsFuture6Ticks {'\'(-inf-0.2]\'','\'(0.2-0.4]\'','\'(0.4-0.6]\'','\'(0.6-0.8]\'','\'(0.8-inf)\''}
@attribute coinsFuture12Ticks {'\'(-inf-1.6]\'','\'(1.6-3.2]\'','\'(3.2-4.8]\'','\'(4.8-6.4]\'','\'(6.4-inf)\''}
@attribute killsFuture12Ticks {'\'(-inf-0.4]\'','\'(0.4-0.8]\'','\'(0.8-1.2]\'','\'(1.2-1.6]\'','\'(1.6-inf)\''}
@attribute coinsFuture24Ticks {'\'(-inf-2.4]\'','\'(2.4-4.8]\'','\'(4.8-7.2]\'','\'(7.2-9.6]\'','\'(9.6-inf)\''}
@attribute killsFuture24Ticks {'\'(-inf-0.4]\'','\'(0.4-0.8]\'','\'(0.8-1.2]\'','\'(1.2-1.6]\'','\'(1.6-inf)\''}
@attribute marioMode {'\'(-inf-1.2]\'','\'(1.2-1.4]\'','\'(1.4-1.6]\'','\'(1.6-1.8]\'','\'(1.8-inf)\''}
@attribute marioStatus {'\'All\''}
@attribute distancePassedCells {'\'(-inf-50.4]\'','\'(50.4-98.8]\'','\'(98.8-147.2]\'','\'(147.2-195.6]\'','\'(195.6-inf)\''}
@attribute distancePassedPhys {'\'(-inf-809.2]\'','\'(809.2-1586.4]\'','\'(1586.4-2363.6]\'','\'(2363.6-3140.8]\'','\'(3140.8-inf)\''}

@data
'\'(725-1109]\'','\'(-10.4-inf)\'','\'(-inf--47.6]\'','\'(-inf--47.6]\'','\'(-inf--47.6]\'','\'(-inf--47.6]\'','\'(-11.2-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-inf-6]\'','\'(9.6-14.4]\'','\'(56-inf)\'','\'(0.8-1.6]\'','\'(-inf-0.2]\'','\'(3.2-4.8]\'','\'(-inf-0.4]\'','\'(2.4-4.8]\'','\'(-inf-0.4]\'','\'(-inf-1.2]\'','\'All\'','\'(98.8-147.2]\'','\'(1586.4-2363.6]\''
'\'(725-1109]\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-11.2-inf)\'','\'(-inf--47.6]\'','\'(-inf--47.6]\'','\'(-inf--47.6]\'','\'(-inf--47.6]\'','\'(-inf-6]\'','\'(9.6-14.4]\'','\'(56-inf)\'','\'(0.8-1.6]\'','\'(-inf-0.2]\'','\'(3.2-4.8]\'','\'(-inf-0.4]\'','\'(2.4-4.8]\'','\'(-inf-0.4]\'','\'(-inf-1.2]\'','\'All\'','\'(98.8-147.2]\'','\'(1586.4-2363.6]\''
'\'(725-1109]\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-11.2-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-inf-6]\'','\'(9.6-14.4]\'','\'(56-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(1.6-3.2]\'','\'(-inf-0.4]\'','\'(2.4-4.8]\'','\'(-inf-0.4]\'','\'(-inf-1.2]\'','\'All\'','\'(98.8-147.2]\'','\'(1586.4-2363.6]\''
'\'(725-1109]\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-11.2-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-inf-6]\'','\'(9.6-14.4]\'','\'(56-inf)\'','\'(0.8-1.6]\'','\'(-inf-0.2]\'','\'(1.6-3.2]\'','\'(-inf-0.4]\'','\'(2.4-4.8]\'','\'(-inf-0.4]\'','\'(-inf-1.2]\'','\'All\'','\'(98.8-147.2]\'','\'(1586.4-2363.6]\''
'\'(725-1109]\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-11.2-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-inf-6]\'','\'(9.6-14.4]\'','\'(56-inf)\'','\'(1.6-2.4]\'','\'(-inf-0.2]\'','\'(1.6-3.2]\'','\'(-inf-0.4]\'','\'(2.4-4.8]\'','\'(-inf-0.4]\'','\'(-inf-1.2]\'','\'All\'','\'(98.8-147.2]\'','\'(1586.4-2363.6]\''
'\'(725-1109]\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-11.2-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-inf-6]\'','\'(9.6-14.4]\'','\'(56-inf)\'','\'(2.4-3.2]\'','\'(-inf-0.2]\'','\'(1.6-3.2]\'','\'(-inf-0.4]\'','\'(2.4-4.8]\'','\'(-inf-0.4]\'','\'(-inf-1.2]\'','\'All\'','\'(98.8-147.2]\'','\'(1586.4-2363.6]\''
'\'(725-1109]\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-11.2-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-inf-6]\'','\'(9.6-14.4]\'','\'(56-inf)\'','\'(2.4-3.2]\'','\'(-inf-0.2]\'','\'(1.6-3.2]\'','\'(-inf-0.4]\'','\'(2.4-4.8]\'','\'(-inf-0.4]\'','\'(-inf-1.2]\'','\'All\'','\'(98.8-147.2]\'','\'(1586.4-2363.6]\''
'\'(725-1109]\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-11.2-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-inf-6]\'','\'(9.6-14.4]\'','\'(56-inf)\'','\'(2.4-3.2]\'','\'(-inf-0.2]\'','\'(1.6-3.2]\'','\'(-inf-0.4]\'','\'(2.4-4.8]\'','\'(-inf-0.4]\'','\'(-inf-1.2]\'','\'All\'','\'(98.8-147.2]\'','\'(1586.4-2363.6]\''
'\'(725-1109]\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-inf--47.8]\'','\'(-inf--47.6]\'','\'(-inf--47.6]\'','\'(-inf--47.6]\'','\'(-inf--47.6]\'','\'(-inf-6]\'','\'(9.6-14.4]\'','\'(56-inf)\'','\'(1.6-2.4]\'','\'(-inf-0.2]\'','\'(1.6-3.2]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'(-inf-1.2]\'','\'All\'','\'(98.8-147.2]\'','\'(1586.4-2363.6]\''
'\'(725-1109]\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-inf--47.8]\'','\'(-inf--47.6]\'','\'(-inf--47.6]\'','\'(-inf--47.6]\'','\'(-10.4-inf)\'','\'(6-12]\'','\'(9.6-14.4]\'','\'(56-inf)\'','\'(0.8-1.6]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'(-inf-1.2]\'','\'All\'','\'(98.8-147.2]\'','\'(1586.4-2363.6]\''
'\'(1109-1493]\'','\'(-inf--47.6]\'','\'(-inf--47.6]\'','\'(-inf--47.6]\'','\'(-inf--47.6]\'','\'(-10.4-inf)\'','\'(-11.2-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-inf-6]\'','\'(9.6-14.4]\'','\'(56-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'(-inf-1.2]\'','\'All\'','\'(98.8-147.2]\'','\'(1586.4-2363.6]\''
'\'(1109-1493]\'','\'(-inf--47.6]\'','\'(-inf--47.6]\'','\'(-inf--47.6]\'','\'(-inf--47.6]\'','\'(-10.4-inf)\'','\'(-11.2-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-inf-6]\'','\'(9.6-14.4]\'','\'(56-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'(-inf-1.2]\'','\'All\'','\'(98.8-147.2]\'','\'(1586.4-2363.6]\''
'\'(1109-1493]\'','\'(-inf--47.6]\'','\'(-inf--47.6]\'','\'(-inf--47.6]\'','\'(-inf--47.6]\'','\'(-10.4-inf)\'','\'(-11.2-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-inf-6]\'','\'(9.6-14.4]\'','\'(56-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'(-inf-1.2]\'','\'All\'','\'(98.8-147.2]\'','\'(1586.4-2363.6]\''
'\'(1109-1493]\'','\'(-inf--47.6]\'','\'(-inf--47.6]\'','\'(-inf--47.6]\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-11.2-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(6-12]\'','\'(14.4-19.2]\'','\'(56-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'(-inf-1.2]\'','\'All\'','\'(98.8-147.2]\'','\'(1586.4-2363.6]\''
'\'(1109-1493]\'','\'(-inf--47.6]\'','\'(-inf--47.6]\'','\'(-inf--47.6]\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-11.2-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(6-12]\'','\'(14.4-19.2]\'','\'(56-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'(-inf-1.2]\'','\'All\'','\'(98.8-147.2]\'','\'(1586.4-2363.6]\''
'\'(1109-1493]\'','\'(-inf--47.6]\'','\'(-inf--47.6]\'','\'(-inf--47.6]\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-11.2-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(6-12]\'','\'(14.4-19.2]\'','\'(56-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(-inf-2.4]\'','\'(-inf-0.4]\'','\'(-inf-1.2]\'','\'All\'','\'(98.8-147.2]\'','\'(1586.4-2363.6]\''
'\'(1109-1493]\'','\'(-inf--47.6]\'','\'(-inf--47.6]\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-11.2-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(6-12]\'','\'(14.4-19.2]\'','\'(56-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(2.4-4.8]\'','\'(-inf-0.4]\'','\'(-inf-1.2]\'','\'All\'','\'(98.8-147.2]\'','\'(1586.4-2363.6]\''
'\'(1109-1493]\'','\'(-inf--47.6]\'','\'(-inf--47.6]\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-11.2-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(6-12]\'','\'(14.4-19.2]\'','\'(56-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(2.4-4.8]\'','\'(-inf-0.4]\'','\'(-inf-1.2]\'','\'All\'','\'(98.8-147.2]\'','\'(1586.4-2363.6]\''
'\'(1109-1493]\'','\'(-inf--47.6]\'','\'(-inf--47.6]\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-11.2-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(6-12]\'','\'(14.4-19.2]\'','\'(56-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(2.4-4.8]\'','\'(-inf-0.4]\'','\'(-inf-1.2]\'','\'All\'','\'(98.8-147.2]\'','\'(1586.4-2363.6]\''
'\'(1109-1493]\'','\'(-inf--47.6]\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-11.2-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(12-18]\'','\'(14.4-19.2]\'','\'(56-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(4.8-7.2]\'','\'(-inf-0.4]\'','\'(-inf-1.2]\'','\'All\'','\'(98.8-147.2]\'','\'(1586.4-2363.6]\''
'\'(1109-1493]\'','\'(-inf--47.6]\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-11.2-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(12-18]\'','\'(14.4-19.2]\'','\'(56-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(4.8-7.2]\'','\'(-inf-0.4]\'','\'(-inf-1.2]\'','\'All\'','\'(98.8-147.2]\'','\'(1586.4-2363.6]\''
'\'(1109-1493]\'','\'(-inf--47.6]\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-11.2-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(12-18]\'','\'(14.4-19.2]\'','\'(56-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(4.8-7.2]\'','\'(-inf-0.4]\'','\'(-inf-1.2]\'','\'All\'','\'(98.8-147.2]\'','\'(1586.4-2363.6]\''
'\'(1109-1493]\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-11.2-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(12-18]\'','\'(14.4-19.2]\'','\'(56-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(7.2-9.6]\'','\'(-inf-0.4]\'','\'(-inf-1.2]\'','\'All\'','\'(98.8-147.2]\'','\'(1586.4-2363.6]\''
'\'(1109-1493]\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-11.2-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(12-18]\'','\'(14.4-19.2]\'','\'(56-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(7.2-9.6]\'','\'(-inf-0.4]\'','\'(-inf-1.2]\'','\'All\'','\'(98.8-147.2]\'','\'(1586.4-2363.6]\''
'\'(1109-1493]\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-11.2-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(12-18]\'','\'(14.4-19.2]\'','\'(56-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(-inf-1.6]\'','\'(-inf-0.4]\'','\'(7.2-9.6]\'','\'(-inf-0.4]\'','\'(-inf-1.2]\'','\'All\'','\'(98.8-147.2]\'','\'(1586.4-2363.6]\''
'\'(1109-1493]\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-11.2-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(12-18]\'','\'(14.4-19.2]\'','\'(56-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(1.6-3.2]\'','\'(-inf-0.4]\'','\'(7.2-9.6]\'','\'(-inf-0.4]\'','\'(-inf-1.2]\'','\'All\'','\'(98.8-147.2]\'','\'(1586.4-2363.6]\''
'\'(1109-1493]\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-11.2-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(12-18]\'','\'(14.4-19.2]\'','\'(56-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(1.6-3.2]\'','\'(-inf-0.4]\'','\'(7.2-9.6]\'','\'(-inf-0.4]\'','\'(-inf-1.2]\'','\'All\'','\'(98.8-147.2]\'','\'(1586.4-2363.6]\''
'\'(1109-1493]\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-11.2-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(12-18]\'','\'(14.4-19.2]\'','\'(56-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(1.6-3.2]\'','\'(-inf-0.4]\'','\'(7.2-9.6]\'','\'(-inf-0.4]\'','\'(-inf-1.2]\'','\'All\'','\'(98.8-147.2]\'','\'(1586.4-2363.6]\''
'\'(1109-1493]\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-11.2-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-inf--47.6]\'','\'(12-18]\'','\'(14.4-19.2]\'','\'(56-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(3.2-4.8]\'','\'(-inf-0.4]\'','\'(7.2-9.6]\'','\'(-inf-0.4]\'','\'(-inf-1.2]\'','\'All\'','\'(98.8-147.2]\'','\'(1586.4-2363.6]\''
'\'(1109-1493]\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-11.2-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-inf--47.6]\'','\'(12-18]\'','\'(14.4-19.2]\'','\'(56-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(3.2-4.8]\'','\'(-inf-0.4]\'','\'(7.2-9.6]\'','\'(-inf-0.4]\'','\'(-inf-1.2]\'','\'All\'','\'(98.8-147.2]\'','\'(1586.4-2363.6]\''
'\'(1109-1493]\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-11.2-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-inf--47.6]\'','\'(12-18]\'','\'(14.4-19.2]\'','\'(56-inf)\'','\'(-inf-0.8]\'','\'(-inf-0.2]\'','\'(3.2-4.8]\'','\'(-inf-0.4]\'','\'(7.2-9.6]\'','\'(-inf-0.4]\'','\'(-inf-1.2]\'','\'All\'','\'(98.8-147.2]\'','\'(1586.4-2363.6]\''
'\'(1109-1493]\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-11.2-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-inf--47.6]\'','\'(-inf--47.6]\'','\'(12-18]\'','\'(14.4-19.2]\'','\'(56-inf)\'','\'(1.6-2.4]\'','\'(-inf-0.2]\'','\'(4.8-6.4]\'','\'(-inf-0.4]\'','\'(7.2-9.6]\'','\'(-inf-0.4]\'','\'(-inf-1.2]\'','\'All\'','\'(98.8-147.2]\'','\'(1586.4-2363.6]\''
'\'(1109-1493]\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-inf--47.6]\'','\'(-inf--47.6]\'','\'(-11.2-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(12-18]\'','\'(14.4-19.2]\'','\'(56-inf)\'','\'(1.6-2.4]\'','\'(-inf-0.2]\'','\'(4.8-6.4]\'','\'(-inf-0.4]\'','\'(7.2-9.6]\'','\'(-inf-0.4]\'','\'(-inf-1.2]\'','\'All\'','\'(98.8-147.2]\'','\'(1586.4-2363.6]\''
'\'(1109-1493]\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-inf--47.6]\'','\'(-inf--47.6]\'','\'(-11.2-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(12-18]\'','\'(14.4-19.2]\'','\'(56-inf)\'','\'(1.6-2.4]\'','\'(-inf-0.2]\'','\'(4.8-6.4]\'','\'(-inf-0.4]\'','\'(7.2-9.6]\'','\'(-inf-0.4]\'','\'(-inf-1.2]\'','\'All\'','\'(98.8-147.2]\'','\'(1586.4-2363.6]\''
'\'(1109-1493]\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-inf--47.6]\'','\'(-inf--47.6]\'','\'(-inf--47.6]\'','\'(-11.2-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(12-18]\'','\'(14.4-19.2]\'','\'(56-inf)\'','\'(3.2-inf)\'','\'(-inf-0.2]\'','\'(6.4-inf)\'','\'(-inf-0.4]\'','\'(7.2-9.6]\'','\'(-inf-0.4]\'','\'(-inf-1.2]\'','\'All\'','\'(98.8-147.2]\'','\'(1586.4-2363.6]\''
'\'(1109-1493]\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-inf--47.6]\'','\'(-inf--47.6]\'','\'(-inf--47.6]\'','\'(-11.2-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(-10.4-inf)\'','\'(12-18]\'','\'(14.4-19.2]\'','\'(56-inf)\'','\'(3.2-inf)\'','\'(-inf-0.2]\'','\'(6.4-inf)\'','\'(-inf-0.4]\'','\'(7.2-9.6]\'','\'(-inf-0.4]\'','\'(-inf-1.2]\'','\'All\'','\'(98.8-147.2]\'','\'(1586.4-2363.6]\''
